"occupation_id","task_id","source_id","source_role","exposure_score","augmentation_score","automation_score","evidence_weight","confidence","promotion_status","notes"
"occ_11_1021_00","task_occ_11_1021_00_19501","src_openai_gpts_are_gpts_2023","benchmark_task_label","0.4750","0.4425","0.5000","0.7200","0.6000","active_supporting","task_match|benchmark_task_label"
"occ_11_1021_00","task_occ_11_1021_00_19501","src_v2_cluster_prior_proxy_2026_03","cluster_prior_proxy","0.5200","0.6800","0.0460","0.1800","0.3672","backstop_only","cluster_proxy|mapped_from_task_family|proxy_backstopped_by_task_evidence"
"occ_11_1021_00","task_occ_11_1021_00_20699","src_anthropic_ei_2026_01_15","live_task_evidence","0.2400","0.3200","0.6000","1.0000","0.7900","active_live","task_match|evidence_type=anthropic_task_usage"
"occ_11_1021_00","task_occ_11_1021_00_20699","src_openai_gpts_are_gpts_2023","benchmark_task_label","0.4750","0.4425","0.5000","0.7200","0.6000","active_supporting","task_match|benchmark_task_label"
"occ_11_1021_00","task_occ_11_1021_00_20699","src_v2_cluster_prior_proxy_2026_03","cluster_prior_proxy","0.0000","0.0100","0.0135","0.1800","0.1500","backstop_only","cluster_proxy|mapped_from_task_family|proxy_backstopped_by_task_evidence"
"occ_11_1021_00","task_occ_11_1021_00_20700","src_openai_gpts_are_gpts_2023","benchmark_task_label","0.4750","0.4425","0.5000","0.7200","0.6000","active_supporting","task_match|benchmark_task_label"
"occ_11_1021_00","task_occ_11_1021_00_20700","src_v2_cluster_prior_proxy_2026_03","cluster_prior_proxy","0.5200","0.6800","0.0460","0.1800","0.3672","backstop_only","cluster_proxy|mapped_from_task_family|proxy_backstopped_by_task_evidence"
"occ_11_1021_00","task_occ_11_1021_00_20701","src_openai_gpts_are_gpts_2023","benchmark_task_label","0.4750","0.4425","0.5000","0.7200","0.6000","active_supporting","task_match|benchmark_task_label"
"occ_11_1021_00","task_occ_11_1021_00_20702","src_anthropic_ei_2026_01_15","live_task_evidence","0.2500","0.1000","0.7700","1.0000","0.7100","active_live","task_match|evidence_type=anthropic_task_usage"
"occ_11_1021_00","task_occ_11_1021_00_20702","src_openai_gpts_are_gpts_2023","benchmark_task_label","0.4750","0.4425","0.5000","0.7200","0.6000","active_supporting","task_match|benchmark_task_label"
"occ_11_1021_00","task_occ_11_1021_00_20702","src_v2_cluster_prior_proxy_2026_03","cluster_prior_proxy","0.2500","0.1000","0.7420","0.1800","0.4828","backstop_only","cluster_proxy|mapped_from_task_family|proxy_backstopped_by_task_evidence"
"occ_11_1021_00","task_occ_11_1021_00_20703","src_openai_gpts_are_gpts_2023","benchmark_task_label","0.4750","0.4425","0.5000","0.7200","0.6000","active_supporting","task_match|benchmark_task_label"
"occ_11_1021_00","task_occ_11_1021_00_20703","src_v2_cluster_prior_proxy_2026_03","cluster_prior_proxy","0.2500","0.1000","0.7420","0.1800","0.4828","backstop_only","cluster_proxy|mapped_from_task_family|proxy_backstopped_by_task_evidence"
"occ_11_1021_00","task_occ_11_1021_00_20704","src_openai_gpts_are_gpts_2023","benchmark_task_label","0.4750","0.4425","0.5000","0.7200","0.6000","active_supporting","task_match|benchmark_task_label"
"occ_11_1021_00","task_occ_11_1021_00_20704","src_v2_cluster_prior_proxy_2026_03","cluster_prior_proxy","0.2500","0.1000","0.7420","0.1800","0.4828","backstop_only","cluster_proxy|mapped_from_task_family|proxy_backstopped_by_task_evidence"
"occ_11_1021_00","task_occ_11_1021_00_20705","src_openai_gpts_are_gpts_2023","benchmark_task_label","0.4750","0.4425","0.5000","0.7200","0.6000","active_supporting","task_match|benchmark_task_label"
"occ_11_1021_00","task_occ_11_1021_00_20705","src_v2_cluster_prior_proxy_2026_03","cluster_prior_proxy","0.2500","0.1000","0.7420","0.1800","0.4828","backstop_only","cluster_proxy|mapped_from_task_family|proxy_backstopped_by_task_evidence"
"occ_11_1021_00","task_occ_11_1021_00_20706","src_openai_gpts_are_gpts_2023","benchmark_task_label","0.4750","0.4425","0.5000","0.7200","0.6000","active_supporting","task_match|benchmark_task_label"
"occ_11_1021_00","task_occ_11_1021_00_20706","src_v2_cluster_prior_proxy_2026_03","cluster_prior_proxy","0.5200","0.6800","0.0460","0.1800","0.3672","backstop_only","cluster_proxy|mapped_from_task_family|proxy_backstopped_by_task_evidence"
"occ_11_1021_00","task_occ_11_1021_00_20707","src_anthropic_ei_2026_01_15","live_task_evidence","0.0900","0.2000","0.1000","1.0000","0.4900","active_live","task_match|evidence_type=anthropic_task_usage"
"occ_11_1021_00","task_occ_11_1021_00_20707","src_openai_gpts_are_gpts_2023","benchmark_task_label","0.4750","0.4425","0.5000","0.7200","0.6000","active_supporting","task_match|benchmark_task_label"
"occ_11_1021_00","task_occ_11_1021_00_20707","src_v2_cluster_prior_proxy_2026_03","cluster_prior_proxy","0.0900","0.2000","0.0720","0.1800","0.3332","backstop_only","cluster_proxy|mapped_from_task_family|proxy_backstopped_by_task_evidence"
"occ_11_1021_00","task_occ_11_1021_00_20708","src_openai_gpts_are_gpts_2023","benchmark_task_label","0.4750","0.4425","0.5000","0.7200","0.6000","active_supporting","task_match|benchmark_task_label"
"occ_11_1021_00","task_occ_11_1021_00_20708","src_v2_cluster_prior_proxy_2026_03","cluster_prior_proxy","0.5200","0.6800","0.0460","0.1800","0.3672","backstop_only","cluster_proxy|mapped_from_task_family|proxy_backstopped_by_task_evidence"
"occ_11_1021_00","task_occ_11_1021_00_933","src_openai_gpts_are_gpts_2023","benchmark_task_label","0.4750","0.4425","0.5000","0.7200","0.6000","active_supporting","task_match|benchmark_task_label"
