"occupation_id","onet_task_id","task_statement","task_family_id","task_type","importance","frequency","source_mix","notes"
"occ_13_1111_00","manual_ma_01","Frame client problem statements, hypotheses, and success metrics before analysis begins.","cluster_decision_support","Core","0.82","0.72","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_13_1111_00","manual_ma_02","Diagnose operating bottlenecks across teams, workflows, and handoffs.","cluster_analysis","Core","0.80","0.68","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_13_1111_00","manual_ma_03","Design target-state processes, governance, or operating models.","cluster_oversight_strategy","Core","0.81","0.55","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_13_1111_00","manual_ma_04","Facilitate stakeholder workshops to align findings and recommendations.","cluster_coordination","Core","0.74","0.62","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_13_1111_00","manual_ma_05","Build implementation roadmaps, workplans, and change-management actions.","cluster_coordination","Core","0.73","0.58","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_23_2011_00","manual_para_01","Organize case chronologies, exhibits, and factual records for active matters.","cluster_documentation","Core","0.78","0.66","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_23_2011_00","manual_para_02","Draft discovery requests, responses, and matter summaries under attorney guidance.","cluster_drafting","Core","0.79","0.65","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_23_2011_00","manual_para_03","Track filing deadlines, court requirements, and procedural checklists.","cluster_workflow_admin","Core","0.74","0.72","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_23_2011_00","manual_para_04","Prepare exhibits and supporting packets for hearings, filings, or negotiations.","cluster_qa_review","Supplemental","0.69","0.58","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_13_1161_00","manual_mr_01","Define research questions with product, sales, or marketing stakeholders.","cluster_decision_support","Core","0.80","0.58","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_13_1161_00","manual_mr_02","Design surveys, interview guides, or test plans for target audiences.","cluster_drafting","Core","0.76","0.61","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_13_1161_00","manual_mr_03","Segment audiences and interpret demand, usage, or campaign signals.","cluster_analysis","Core","0.82","0.70","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_13_1161_00","manual_mr_04","Translate findings into positioning, messaging, or campaign recommendations.","cluster_decision_support","Core","0.79","0.60","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_43_4051_00","manual_cs_01","Resolve escalated customer cases that require policy judgment or exception handling.","cluster_client_interaction","Core","0.78","0.60","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_43_4051_00","manual_cs_02","Document recurring issue patterns and propose process fixes.","cluster_documentation","Supplemental","0.67","0.55","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_43_4051_00","manual_cs_03","Coordinate with operations, product, or billing teams on recurring failures.","cluster_coordination","Core","0.72","0.62","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_43_9111_00","manual_sa_01","Clean, reconcile, and validate datasets before analysis delivery.","cluster_qa_review","Core","0.76","0.67","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_43_9111_00","manual_sa_02","Prepare recurring tables, charts, or statistical reporting packets.","cluster_documentation","Core","0.70","0.64","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_43_9111_00","manual_sa_03","Check anomalies or missing values with analysts before release.","cluster_coordination","Core","0.68","0.50","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_27_3042_00","manual_tw_01","Interview subject matter experts to clarify system behavior and edge cases.","cluster_research_synthesis","Core","0.73","0.48","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_27_3042_00","manual_tw_02","Maintain documentation plans, review cycles, and release-note schedules.","cluster_workflow_admin","Supplemental","0.66","0.52","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_27_3042_00","manual_tw_03","Refactor complex technical content for different user audiences and contexts.","cluster_drafting","Core","0.81","0.63","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_41_3091_00","manual_sr_01","Qualify customer needs, budget limits, and buying constraints.","cluster_client_interaction","Core","0.80","0.72","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
