local_file,category,priority,status,notes
task_pct_v2.csv,task_exposure,core,downloaded,Revised task usage proportions by mapped task; active input to normalize_anthropic_ei.ps1.
automation_vs_augmentation_by_task.csv,task_exposure,core,downloaded,Preferred task-level augmentation versus automation file; active input to normalize_anthropic_ei.ps1.
automation_vs_augmentation.csv,task_exposure,supporting,downloaded,Early aggregate automation versus augmentation split retained for reference.
onet_task_statements.csv,task_exposure,supporting,downloaded,Task-text support for O*NET joins; active input to normalize_anthropic_ei.ps1.
soc_structure.csv,task_exposure,supporting,downloaded,SOC structure reference retained with the Anthropic raw bundle.
release_2026_01_15/data_documentation.md,release_snapshot,supporting,downloaded,January 15 2026 release documentation from Hugging Face.
release_2026_01_15/aei_v4_appendix.pdf,release_snapshot,supporting,downloaded,Appendix for the January 15 2026 release.
release_2026_01_15/data/intermediate/aei_raw_1p_api_2025-11-13_to_2025-11-20.csv,release_snapshot,core,downloaded,Raw 1P API usage extract imported for future Anthropic EI integration work.
release_2026_01_15/data/intermediate/aei_raw_claude_ai_2025-11-13_to_2025-11-20.csv,release_snapshot,core,downloaded,Raw Claude.ai usage extract imported for future Anthropic EI integration work.
labor_market_impacts/task_penetration.csv,task_exposure,core,downloaded,March 2026 labor market follow-up. 17999 task rows keyed by O*NET task statement text; penetration score (0-1) measures economy-wide Claude usage share per task. 657 of 669 model tasks match exactly (98.2%). Distribution is bimodal: 92.5% zero; nonzero median 0.91. Measures individual-level AI task engagement not occupation-specific work share; orthogonal to observed_usage_share (correlation -0.054). 360 model tasks gain first signal; 13 have penetration > 0.01 with no current evidence (project management milestones, software modification, sales contact tasks). Pending normalization pass to integrate into task evidence layer.
labor_market_impacts/job_exposure.csv,occupation_exposure,core,downloaded,March 2026 labor market follow-up. 756 occupation rows keyed by 6-digit SOC; observed_exposure (0-1) measures fraction of Claude AI interactions involving this occupation. 32 of 34 model occupations match (occ_13_1082_00 and occ_41_3091_00 not found). Signal is individual-level Claude usage share — structurally different from BTOS-derived ai_adoption_context which measures organizational workflow adoption. Large divergences on 25/32 occupations (>0.05 diff from ai_adoption_context). Notable: Customer Service Reps 0.70 observed vs 0.16 model; Software Developers 0.29 observed vs 0.85 model. Use as calibration layer; do not directly replace ai_adoption_context.
release_2025_09_15/data/intermediate/aei_raw_claude_ai_2025-08-04_to_2025-08-11.csv,release_snapshot,core,downloaded,September 2025 release raw Claude.ai usage extract. Aug 4-11 2025 observation window. 100063 rows including 2618 GLOBAL onet_task_count entries (2616 matched to O*NET IDs). 176 of those 2616 overlap with our 34-occupation inventory; 8 had no prior evidence and were added as src_anthropic_ei_sep_2025_window. The other 2440 unmatched tasks belong to occupations outside our 34-occupation set. Jan 2026 release remains the primary window for our modeled occupations.
release_2025_03_27/task_pct_v2.csv,release_snapshot,supporting,not_downloaded,March 2025 release task proportions. Earlier time window; may contain task coverage not in later releases.
release_2025_03_27/automation_vs_augmentation_by_task.csv,release_snapshot,supporting,not_downloaded,March 2025 release augmentation vs automation labels by task. 561 kB. May provide earlier baseline for temporal comparison.
