"occupation_id","function_id","accountability_statement","primary_output","primary_stakeholder","judgment_requirement","trust_requirement","regulatory_liability_weight","human_authority_requirement","bargaining_power_retention","source_mix","source_confidence","notes"
"occ_11_1021_00","fn_occ_11_1021_00_people_resource_leadership","Remain accountable for staffing tradeoffs, team performance, and operating accountability.","Resourced execution and management decisions","Leadership and operating teams","0.8400","0.8800","0.4200","0.8200","0.8000","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile|phase31_gom_guardrail_correction|phase32_gom_push"
"occ_11_1021_00","fn_occ_11_1021_00_primary","Remain accountable for prioritization, performance outcomes, and resource tradeoffs.","Coordinated business execution","Leadership, team, and customer","0.8200","0.8600","0.4200","0.8000","0.7800","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","reviewed_primary_accountability_profile|phase31_gom_guardrail_correction|phase32_gom_push"
"occ_11_2021_00","fn_occ_11_2021_00_primary","Remain accountable for interpretation quality, message-market fit, and decision usefulness.","Market insight and go-to-market recommendations","Revenue owner, product team, and customer","0.7000","0.6400","0.2800","0.4800","0.7800","src_role_function_seed_2026_03","0.7400","reviewed_primary_accountability_profile|phase31_mgr_barg_correction"
"occ_11_2021_00","fn_occ_11_2021_00_team_budget_orchestration","Remain accountable for execution prioritization, cross-functional alignment, and escalation when marketing plans no longer fit resources.","Coordinated marketing execution and budget direction","Marketing team and revenue leadership","0.7800","0.6800","0.2200","0.6800","0.7400","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_11_2022_00","fn_occ_11_2022_00_primary","Remain accountable for relationship quality, deal judgment, and commercial commitments.","Revenue and account progression","Customer and revenue owner","0.7200","0.8200","0.2600","0.5800","0.8400","src_role_function_seed_2026_03","0.7400","reviewed_primary_accountability_profile|phase31_mgr_barg_correction"
"occ_11_2022_00","fn_occ_11_2022_00_team_commercial_direction","Remain accountable for team direction, commercial judgment, and escalation when pipeline or service issues threaten outcomes.","Manager-level commercial direction and sales priorities","Sales team and revenue leadership","0.8000","0.8400","0.2800","0.7200","0.8200","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_11_3021_00","fn_occ_11_3021_00_portfolio_delivery_leadership","Remain accountable for delivery prioritization, coordination quality, and escalation when portfolios drift off plan.","Sequenced technology delivery and organizational alignment","Leadership and technical teams","0.8000","0.7200","0.4200","0.7200","0.7800","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_11_3021_00","fn_occ_11_3021_00_primary","Remain accountable for technology direction, budget tradeoffs, risk posture, and team performance.","Accountable technology direction and operating oversight","Leadership, users, and technical teams","0.8400","0.7400","0.4600","0.7400","0.8000","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","reviewed_primary_accountability_profile"
"occ_11_3031_00","fn_occ_11_3031_00_primary","Remain accountable for correctness, financial control, and decision relevance.","Reliable financial records, analysis, and controls","Management, investors, and regulators","0.7400","0.7000","0.6200","0.5800","0.7800","src_role_function_seed_2026_03","0.7400","reviewed_primary_accountability_profile|phase31_mgr_barg_correction"
"occ_11_3031_00","fn_occ_11_3031_00_resource_allocation_leadership","Remain accountable for capital prioritization, operating tradeoffs, and escalation when financial risk changes the plan.","Budget, capital, and resource-allocation decisions","Leadership and operating owners","0.8200","0.7200","0.6000","0.7400","0.7800","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_11_3071_00","fn_occ_11_3071_00_distribution_network_leadership","Remain accountable for network continuity, escalation quality, and tradeoffs between service, cost, and capacity.","Manager-level distribution continuity and operating direction","Operations leadership and network teams","0.8000","0.6800","0.5000","0.6800","0.7200","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_11_3071_00","fn_occ_11_3071_00_primary","Remain accountable for workflow reliability, escalation quality, and control discipline.","Reliable service or operational execution","Internal teams, customers, or leadership","0.6200","0.6400","0.4800","0.5000","0.5800","src_role_function_seed_2026_03","0.7400","reviewed_primary_accountability_profile"
"occ_11_3121_00","fn_occ_11_3121_00_manager_coaching_enablement","Remain accountable for coaching quality, escalation judgment, and alignment between policy and real manager behavior.","Context-sensitive manager guidance and escalations","Managers and employees","0.8000","0.8400","0.6600","0.5800","0.7200","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_11_3121_00","fn_occ_11_3121_00_primary","Remain accountable for policy interpretation, manager guidance, escalation quality, and people-risk governance.","Accountable people policy and workforce decisions","Leadership, managers, and employees","0.8200","0.8400","0.7200","0.7000","0.8400","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","reviewed_primary_accountability_profile|phase31_mgr_barg_correction"
"occ_11_9041_00","fn_occ_11_9041_00_primary","Remain accountable for staffing, delivery quality, technical escalation, and organizational tradeoffs across engineering work.","Accountable engineering direction and team oversight","Leadership, engineers, and customers","0.8200","0.7200","0.4800","0.7600","0.8000","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","reviewed_primary_accountability_profile"
"occ_11_9041_00","fn_occ_11_9041_00_technical_signoff_stewardship","Remain accountable for sign-off quality, escalation judgment, and technical tradeoffs that affect delivery risk.","Defensible technical sign-off and engineering escalation","Leadership and engineering organization","0.8400","0.7000","0.5400","0.7400","0.8000","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_11_9141_00","fn_occ_11_9141_00_primary","Remain accountable for workflow reliability, escalation quality, and control discipline.","Reliable service or operational execution","Internal teams, customers, or leadership","0.6200","0.6400","0.4800","0.5000","0.5800","src_role_function_seed_2026_03","0.7400","reviewed_primary_accountability_profile"
