"occupation_id","evidence_id","employer_name","job_title","source_url","source_kind","task_statement","task_family_id","task_type","importance","frequency","review_status","source_confidence","notes"
"occ_23_1011_00","jd_law_01","Alchemy","Associate General Counsel","https://boards.greenhouse.io/embed/job_app?token=4556627005","public_job_posting","Guide product, engineering, and business teams on launches or operational changes by translating evolving regulations into practical decisions and approval steps.","cluster_decision_support","Core","0.86","0.62","reviewed_for_gap_fill","0.82","reviewed_public_job_posting|review_batch=pilot_2026_03|source_refs=law_02|law_03|law_05"
"occ_23_1011_00","jd_law_02","Instawork","Senior Commercial Counsel","https://boards.greenhouse.io/embed/job_app?gh_src=dd8f22f76us&source=LinkedIn&token=4436009006","public_job_posting","Build and maintain legal playbooks, templates, policies, and training materials that let business teams move faster without losing control discipline.","cluster_oversight_strategy","Core","0.82","0.56","reviewed_for_gap_fill","0.80","reviewed_public_job_posting|review_batch=pilot_2026_03|source_refs=law_01|law_04|law_05"
"occ_23_1011_00","jd_law_03","Affirm","Senior Counsel, Ethics & Employment","https://boards.greenhouse.io/embed/job_app?token=7239490003","public_job_posting","Lead investigations, audits, or other high-risk escalations and coordinate internal stakeholders and outside counsel through resolution.","cluster_qa_review","Core","0.80","0.48","reviewed_for_gap_fill","0.80","reviewed_public_job_posting|review_batch=pilot_2026_03|source_refs=law_01|law_02|law_05"
"occ_23_1011_00","jd_law_04","Fullscript","Senior Counsel, Commercial, Data and Strategic Partnerships","https://jobs.lever.co/fullscript/11637385-5e01-4aec-a0a3-dc4ea2ee4f76","public_job_posting","Structure strategic partnerships, data arrangements, or complex commercial initiatives so growth goals stay aligned with legal and compliance constraints.","cluster_decision_support","Core","0.84","0.50","reviewed_for_gap_fill","0.81","reviewed_public_job_posting|review_batch=pilot_2026_03|source_refs=law_03|law_04|law_05"
"occ_15_2051_00","jd_ds_01","Xero","Sr. Data Scientist (Product Data Science)","https://jobs.lever.co/xero/0df9a23e-59e5-4280-83a9-bc9f3fcf07b9","public_job_posting","Define hypotheses, success metrics, and experiment designs with product or business stakeholders before building analytical solutions.","cluster_decision_support","Core","0.84","0.60","reviewed_for_gap_fill","0.82","reviewed_public_job_posting|review_batch=pilot_2026_03|source_refs=ds_02|ds_05"
"occ_15_2051_00","jd_ds_02","SpyCloud","Senior Data Scientist","https://boards.greenhouse.io/embed/job_app?token=6651905003","public_job_posting","Identify and prototype new data sources, features, or instrumentation required to make models viable and scalable in production settings.","cluster_research_synthesis","Core","0.80","0.52","reviewed_for_gap_fill","0.81","reviewed_public_job_posting|review_batch=pilot_2026_03|source_refs=ds_01|ds_02|ds_04"
"occ_15_2051_00","jd_ds_03","Samba TV","Senior Data Scientist, Measurement","https://jobs.lever.co/sambatv/c9666321-7b7a-4229-844d-4b72ca7321b1","public_job_posting","Partner with engineering and platform teams to productionize, deploy, and monitor models or data pipelines in live systems.","cluster_coordination","Core","0.82","0.58","reviewed_for_gap_fill","0.82","reviewed_public_job_posting|review_batch=pilot_2026_03|source_refs=ds_01|ds_04|ds_05"
"occ_15_2051_00","jd_ds_04","Fullscript","Lead Data Scientist","https://jobs.lever.co/fullscript/5ec81b29-153d-4483-a7ba-b4f1d8397512","public_job_posting","Set methodological standards, documentation, and feedback loops that keep models interpretable, auditable, and decision-useful after launch.","cluster_qa_review","Core","0.81","0.50","reviewed_for_gap_fill","0.80","reviewed_public_job_posting|review_batch=pilot_2026_03|source_refs=ds_01|ds_03|ds_04"
"occ_13_1111_00","jd_ma_01","Brighte","Business Analyst","https://jobs.lever.co/brighte/973dbce1-6fbc-4049-acc6-92ab5bdacfb4","public_job_posting","Translate business needs into scoped requirements, process maps, and decision-ready business cases for cross-functional initiatives.","cluster_decision_support","Core","0.82","0.58","reviewed_for_gap_fill","0.81","reviewed_public_job_posting|review_batch=pilot_2026_03|source_refs=ma_01|ma_02|ma_03"
"occ_13_1111_00","jd_ma_02","Lumafield","Senior Business Operations Analyst","https://jobs.lever.co/lumafield/6c7fa613-b50d-4faa-9895-0bbe098bde48","public_job_posting","Validate process or system changes through pilots, testing, or rollout checkpoints before wider implementation.","cluster_qa_review","Core","0.76","0.48","reviewed_for_gap_fill","0.77","reviewed_public_job_posting|review_batch=pilot_2026_03|source_refs=ma_01|ma_04|ma_05"
"occ_13_1111_00","jd_ma_03","Valence","Strategy & Operations Associate","https://jobs.lever.co/valence/f2422f63-427a-4f20-a147-0bb2b07eaa2a","public_job_posting","Drive adoption by aligning stakeholders, documenting decisions, and closing execution gaps after recommendations are approved.","cluster_coordination","Core","0.80","0.60","reviewed_for_gap_fill","0.80","reviewed_public_job_posting|review_batch=pilot_2026_03|source_refs=ma_03|ma_04|ma_05"
"occ_13_1111_00","jd_ma_04","Shield AI","Lead, Strategy & Operations","https://jobs.lever.co/shieldai/ca460f45-c2f4-4b58-bfd3-dd6a2cfdccf8","public_job_posting","Build repeatable operating playbooks, tooling, or governance rhythms that sustain improvements after the initial project push.","cluster_oversight_strategy","Core","0.78","0.46","reviewed_for_gap_fill","0.79","reviewed_public_job_posting|review_batch=pilot_2026_03|source_refs=ma_01|ma_02|ma_05"
"occ_27_3042_00","jd_tw_01","Pleo","Senior Tech Writer","https://boards.greenhouse.io/embed/job_app?token=6661087003","public_job_posting","Own information architecture, style standards, and content governance so documentation remains consistent, discoverable, and useful across products.","cluster_oversight_strategy","Core","0.80","0.50","reviewed_for_gap_fill","0.81","reviewed_public_job_posting|review_batch=pilot_2026_03|source_refs=tw_01|tw_04|tw_05"
"occ_27_3042_00","jd_tw_02","Linda Werner & Associates","API Technical Writer V","https://boards.greenhouse.io/embed/job_app?token=4885968008","public_job_posting","Create developer-facing examples, tutorials, and code samples that show how to use product capabilities in real workflows.","cluster_drafting","Core","0.78","0.56","reviewed_for_gap_fill","0.80","reviewed_public_job_posting|review_batch=pilot_2026_03|source_refs=tw_02|tw_03|tw_05"
