"expansion_rank","expansion_wave","provisional_onet_soc_code","title","role_family","priority_band","rationale","data_readiness","status","notes"
"1","1","11-3031.00","Financial Managers","finance","core_next","Adds higher-authority finance ownership above accountants and analysts","high","promoted_live_seed","Good contrast for retained sign-off and budgeting authority"
"2","1","15-1232.00","Computer User Support Specialists","software","core_next","Adds high-volume support-side IT work missing from the current software stack","high","promoted_live_seed","Useful lower-guardrail contrast against developers and analysts"
"3","1","11-3021.00","Computer and Information Systems Managers","software","core_next","Adds technical management and organizational adoption authority now proxied too loosely by operations managers","medium","promoted_live_seed","Important for manager-level software transformation path"
"4","1","13-1023.00","Purchasing Agents, Except Wholesale, Retail, and Farm Products","operations","core_next","Procurement and vendor evaluation are a major white-collar workflow gap in the current set","medium","promoted_live_seed","BLS salience is carried by broad row 13-1020.00"
"5","1","11-2022.00","Sales Managers","sales","core_next","Adds formal quota-setting and sales leadership above current frontline sales roles","medium","promoted_live_seed","Good accountability contrast inside sales family"
"6","1","43-3021.00","Billing and Posting Clerks","finance","core_next","Adds a routine revenue-cycle role adjacent to bookkeeping but with a different workflow shape","high","promoted_live_seed","High clerical exposure benchmark"
"7","1","15-1244.00","Network and Computer Systems Administrators","software","core_next","Adds IT infrastructure and uptime stewardship missing from current software coverage","high","promoted_live_seed","Should split support and systems stewardship clearly"
"8","1","13-1031.00","Claims Adjusters, Examiners, and Investigators","operations","core_next","Adds document-heavy but judgment-constrained insurance review work","medium","promoted_live_seed","Strong fit for evidence versus accountability tension|live_role_family=operations"
"9","1","13-2072.00","Loan Officers","finance","core_next","Adds credit-evaluation and client-facing finance work absent from current finance coverage","medium","promoted_live_seed","Good comparison against analysts and clerks"
"10","1","15-1253.00","Software Quality Assurance Analysts and Testers","software","core_next","Adds a software execution-and-review layer currently hidden inside developer baselines","high","promoted_live_seed","Likely useful for variant and function-split review"
"11","2","15-1212.00","Information Security Analysts","software","core_following","Adds high-judgment defensive IT work with stronger guardrails than general systems roles","medium","promoted_live_seed","Important cyber coverage gap"
"12","2","15-1241.00","Computer Network Architects","software","core_following","Adds higher-design infrastructure work above system administration","medium","promoted_live_seed","Useful architecture versus maintenance contrast"
"13","2","11-2021.00","Marketing Managers","marketing","core_following","Adds manager-level commercial judgment and budget ownership above current marketing specialist work","medium","promoted_live_seed","Helps separate strategy from execution in marketing family"
"14","2","11-3121.00","Human Resources Managers","hr","core_following","Adds higher-authority people governance above HR specialists and training roles","medium","promoted_live_seed","Good sign-off and policy authority contrast"
"15","2","13-2052.00","Personal Financial Advisors","finance","core_following","Adds relationship-heavy advice work with stronger trust than analyst roles","medium","promoted_live_seed","Should test trust and delegation guardrails in finance"
"16","2","41-3031.00","Securities, Commodities, and Financial Services Sales Agents","sales","core_following","Adds high-pressure regulated sales work distinct from service-sales baseline","medium","promoted_live_seed","Useful finance-sales bridge"
"17","2","41-3021.00","Insurance Sales Agents","sales","core_following","Adds policy-selling work with more standardized workflows than service sales","medium","promoted_live_seed","Strong insurance-sales contrast"
"18","2","17-2051.00","Civil Engineers","engineering","core_following","Adds major non-software engineering coverage with project and compliance coupling","medium","promoted_live_seed","Broad public-salience engineering role"
"19","2","17-2112.00","Industrial Engineers","engineering","core_following","Adds process-optimization engineering likely to show a distinct AI transformation path","medium","promoted_live_seed","Strong operations-engineering bridge"
"20","2","11-9041.00","Architectural and Engineering Managers","engineering","core_following","Adds manager-level engineering coordination and sign-off above current engineer roles","medium","promoted_live_seed","Important for senior engineering pathway"
"21","3","41-4011.00","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","sales","breadth_following","Adds technical B2B selling with product knowledge and account translation","medium","promoted_live_seed","Good contrast against service sales and ad sales"
"22","3","11-9141.00","Property, Real Estate, and Community Association Managers","operations","breadth_following","Adds operations-heavy stakeholder management outside the current business-ops set","medium","promoted_live_seed","Useful real-estate and asset-stewardship coverage"
"23","3","13-1051.00","Cost Estimators","operations","breadth_following","Adds estimate-building and pricing workflow work between finance and project operations","medium","promoted_live_seed","Should expose strong drafting-plus-judgment mix"
"24","3","11-3071.00","Transportation, Storage, and Distribution Managers","operations","breadth_following","Adds logistics leadership above current logistician baseline","medium","promoted_live_seed","Good manager-level operations contrast"
"25","3","43-4131.00","Loan Interviewers and Clerks","finance","breadth_following","Adds lower-authority credit workflow support beneath loan officers","high","promoted_live_seed","Useful tier split inside lending"
"26","3","43-9041.00","Insurance Claims and Policy Processing Clerks","operations","breadth_following","Adds routine insurance workflow execution beneath adjusters","high","promoted_live_seed","Useful execution versus judgment contrast inside insurance|live_role_family=operations"
"27","3","43-4171.00","Receptionists and Information Clerks","admin","breadth_following","Adds front-desk information routing and intake missing from current admin mix","high","promoted_live_seed","High-salience admin role"
"28","3","43-1011.00","First-Line Supervisors of Office and Administrative Support Workers","admin","breadth_following","Adds managerial admin coordination above current clerical roles","medium","promoted_live_seed","Important admin seniority path"
"29","3","43-4031.00","Court, Municipal, and License Clerks","legal","breadth_following","Adds public-sector legal-adjacent clerical workflow not represented by paralegal/lawyer pair","medium","promoted_live_seed","Good legal support breadth role"
"30","3","17-2071.00","Electrical Engineers","engineering","breadth_following","Adds another major systems-engineering branch beyond electronics and mechanical","medium","promoted_live_seed","Useful comparison for testing and design authority"
