"occupation_id","title","role_transformation_type","function_anchor_count","primary_driver","secondary_driver","primary_counterweight","evidence_profile","confidence_band","review_priority","explanation_summary"
"occ_11_1021_00","General and Operations Managers","workflow_recomposition","2","direct task pressure","core-function pressure","bargaining leverage","direct 14% | reviewed 26% | benchmark 43% | proxy 18%","high","low","General and Operations Managers currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while bargaining leverage is the main counterweight. Function mix: orchestration (75%); people_resource_leadership (25%). Evidence mix: direct 14% | reviewed 26% | benchmark 43% | proxy 18%."
"occ_11_2021_00","Marketing Managers","workflow_recomposition","2","direct task pressure","core-function pressure","bargaining leverage","direct 29% | reviewed 16% | benchmark 41% | proxy 14%","high","low","Marketing Managers currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while bargaining leverage is the main counterweight. Function mix: market_sensing (75%); team_budget_orchestration (25%). Evidence mix: direct 29% | reviewed 16% | benchmark 41% | proxy 14%."
"occ_11_2022_00","Sales Managers","workflow_recomposition","2","direct task pressure","core-function pressure","bargaining leverage","direct 21% | reviewed 26% | benchmark 42% | proxy 11%","high","low","Sales Managers currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while bargaining leverage is the main counterweight. Function mix: revenue_creation (75%); team_commercial_direction (25%). Evidence mix: direct 21% | reviewed 26% | benchmark 42% | proxy 11%."
"occ_11_3021_00","Computer and Information Systems Managers","workflow_recomposition","2","direct task pressure","core-function pressure","bargaining leverage","direct 29% | reviewed 22% | benchmark 36% | proxy 14%","high","low","Computer and Information Systems Managers currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while bargaining leverage is the main counterweight. Function mix: technology_governance (75%); portfolio_delivery_leadership (25%). Evidence mix: direct 29% | reviewed 22% | benchmark 36% | proxy 14%."
"occ_11_3031_00","Financial Managers","workflow_recomposition","2","direct task pressure","core-function pressure","bargaining leverage","direct 30% | reviewed 22% | benchmark 36% | proxy 12%","medium","low","Financial Managers currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while bargaining leverage is the main counterweight. Function mix: financial_integrity (75%); resource_allocation_leadership (25%). Evidence mix: direct 30% | reviewed 22% | benchmark 36% | proxy 12%."
"occ_11_3071_00","Transportation, Storage, and Distribution Managers","workflow_recomposition","2","direct task pressure","core-function pressure","bargaining leverage","direct 11% | reviewed 15% | benchmark 60% | proxy 14%","medium","low","Transportation, Storage, and Distribution Managers currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while bargaining leverage is the main counterweight. Function mix: reliable_execution (75%); distribution_network_leadership (25%). Evidence mix: direct 11% | reviewed 15% | benchmark 60% | proxy 14%."
"occ_11_3121_00","Human Resources Managers","workflow_recomposition","2","direct task pressure","core-function pressure","human accountability","direct 23% | reviewed 14% | benchmark 48% | proxy 15%","medium","low","Human Resources Managers currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while human accountability is the main counterweight. Function mix: people_governance (75%); manager_coaching_enablement (25%). Evidence mix: direct 23% | reviewed 14% | benchmark 48% | proxy 15%."
"occ_11_9041_00","Architectural and Engineering Managers","workflow_recomposition","2","direct task pressure","core-function pressure","bargaining leverage","direct 18% | reviewed 19% | benchmark 48% | proxy 15%","medium","low","Architectural and Engineering Managers currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while bargaining leverage is the main counterweight. Function mix: engineering_leadership (75%); technical_signoff_stewardship (25%). Evidence mix: direct 18% | reviewed 19% | benchmark 48% | proxy 15%."
"occ_11_9141_00","Property, Real Estate, and Community Association Managers","workflow_recomposition","2","direct task pressure","core-function pressure","bargaining leverage","direct 23% | reviewed 14% | benchmark 50% | proxy 13%","medium","low","Property, Real Estate, and Community Association Managers currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while bargaining leverage is the main counterweight. Function mix: reliable_execution (75%); resident_vendor_stewardship (25%). Evidence mix: direct 23% | reviewed 14% | benchmark 50% | proxy 13%."
"occ_13_1023_00","Purchasing Agents, Except Wholesale, Retail, and Farm Products","workflow_recomposition","2","direct task pressure","core-function pressure","bargaining leverage","direct 23% | reviewed 18% | benchmark 45% | proxy 14%","high","low","Purchasing Agents, Except Wholesale, Retail, and Farm Products currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while bargaining leverage is the main counterweight. Function mix: procurement_stewardship (75%); vendor_relationship_stewardship (25%). Evidence mix: direct 23% | reviewed 18% | benchmark 45% | proxy 14%."
"occ_13_1031_00","Claims Adjusters, Examiners, and Investigators","workflow_recomposition","2","direct task pressure","core-function pressure","bargaining leverage","direct 21% | reviewed 13% | benchmark 50% | proxy 16%","medium","low","Claims Adjusters, Examiners, and Investigators currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while bargaining leverage is the main counterweight. Function mix: claims_resolution (75%); investigation_coordination (25%). Evidence mix: direct 21% | reviewed 13% | benchmark 50% | proxy 16%."
"occ_13_1041_00","Compliance Officers","workflow_recomposition","2","direct task pressure","core-function pressure","human accountability","direct 21% | reviewed 28% | benchmark 40% | proxy 12%","high","low","Compliance Officers currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while human accountability is the main counterweight. Function mix: control_assurance (76%); control_enablement (24%). Evidence mix: direct 21% | reviewed 28% | benchmark 40% | proxy 12%."
"occ_13_1051_00","Cost Estimators","workflow_recomposition","2","direct task pressure","core-function pressure","bargaining leverage","direct 11% | reviewed 37% | benchmark 37% | proxy 16%","high","low","Cost Estimators currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while bargaining leverage is the main counterweight. Function mix: estimate_development (75%); commercial_coordination (25%). Evidence mix: direct 11% | reviewed 37% | benchmark 37% | proxy 16%."
