"launch_rank","provisional_onet_soc_code","title","role_family","priority_band","rationale","data_readiness","status","notes"
"1","15-1252.00","Software Developers","software","core","Anchor software role with strong AI usage visibility and dense task evidence","high","selected","rebalanced_launch_seed"
"2","15-1211.00","Computer Systems Analysts","software","core","Bridges technical analysis and business workflow transformation","high","selected","rebalanced_launch_seed"
"3","15-1254.00","Web Developers","software","core","Useful split between drafting implementation and review work","medium","candidate","removed_from_live_selector_2026_03"
"4","43-6014.00","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","admin","core","Mass-market administrative role missing from the previous launch set","high","selected","rebalanced_launch_seed"
"5","43-9061.00","Office Clerks, General","admin","core","General office workflow role with strong decomposition exposure","high","selected","rebalanced_launch_seed"
"6","43-6011.00","Executive Secretaries and Executive Administrative Assistants","admin","core","Higher-context administrative contrast against routine admin work","medium","selected","rebalanced_launch_seed"
"7","15-2051.00","Data Scientists","data","core","High analytical exposure with strong transformation upside","high","selected","rebalanced_launch_seed"
"8","15-2031.00","Operations Research Analysts","data","core","Structured analytical role with decision-support depth","high","selected","rebalanced_launch_seed"
"9","43-9111.00","Statistical Assistants","data","core","Lower-seniority analytical benchmark for partial automation","medium","selected","rebalanced_launch_seed"
"10","13-2011.00","Accountants and Auditors","finance","core","Classic structured knowledge-work role with uneven task exposure","high","selected","rebalanced_launch_seed"
"11","13-2051.00","Financial and Investment Analysts","finance","core","High analytical exposure with stronger judgment constraints","high","selected","rebalanced_launch_seed"
"12","43-3031.00","Bookkeeping, Accounting, and Auditing Clerks","finance","core","High routine-task exposure and likely weak residual bundle","high","selected","rebalanced_launch_seed"
"13","13-1161.00","Market Research Analysts and Marketing Specialists","marketing","core","Public-facing sales-marketing bridge with synthesis and stakeholder work","high","selected","rebalanced_launch_seed"
"14","41-3091.00","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel","sales","core","Relationship-heavy selling contrast for the sales category","medium","selected","rebalanced_launch_seed"
"15","41-3011.00","Advertising Sales Agents","sales","core","Useful marketing-adjacent sales role with persuasion and pipeline tasks","medium","selected","rebalanced_launch_seed"
"16","27-1024.00","Graphic Designers","creative","core","Adds missing visual creative coverage to the launch set","medium","selected","rebalanced_launch_seed"
"17","27-3043.00","Writers and Authors","creative","core","Creative drafting role with obvious augmentation pressure","medium","selected","rebalanced_launch_seed"
"18","23-1011.00","Lawyers","legal","core","High-context professional benchmark for legal exposure","medium","selected","rebalanced_launch_seed"
"19","23-2011.00","Paralegals and Legal Assistants","legal","core","Document-heavy legal support role with higher automation pressure","high","selected","rebalanced_launch_seed"
"20","13-1082.00","Project Management Specialists","product_management","core","Best direct launch proxy for product-management style coordination work","high","selected","rebalanced_launch_seed"
"21","11-1021.00","General and Operations Managers","product_management","core","Managerial proxy for cross-functional prioritization and workflow orchestration","medium","selected","rebalanced_launch_seed"
"22","13-1111.00","Management Analysts","consulting","core","Core consulting benchmark with high exposure but meaningful coupling","high","selected","rebalanced_launch_seed"
"23","13-1199.00","Business Operations Specialists, All Other","consulting","core","Broad business-specialist catchall that improves consulting category breadth","medium","selected","rebalanced_launch_seed"
"24","13-1071.00","Human Resources Specialists","hr","core","Good mix of workflow admin judgment and people-facing work","high","selected","rebalanced_launch_seed"
"25","13-1151.00","Training and Development Specialists","hr","core","Instructional synthesis and coaching role with adaptation relevance","medium","selected","rebalanced_launch_seed"
"26","27-3042.00","Technical Writers","content","core","High drafting exposure with clear transformation pathways","high","selected","rebalanced_launch_seed"
"27","27-3041.00","Editors","content","core","QA and refinement-heavy contrast within content work","medium","selected","rebalanced_launch_seed"
"28","27-3023.00","News Analysts, Reporters, and Journalists","journalism","core","Direct journalism coverage missing from the prior seed","medium","selected","rebalanced_launch_seed"
"29","27-3031.00","Public Relations Specialists","communications","core","Stakeholder-heavy communications role that complements journalism and marketing","medium","selected","rebalanced_launch_seed"
"30","17-2141.00","Mechanical Engineers","engineering","core","Non-software engineering benchmark with analysis and QA intensity","medium","selected","rebalanced_launch_seed"
"31","17-2072.00","Electronics Engineers, Except Computer","engineering","core","Engineering contrast with higher technical review and systems coupling","medium","selected","rebalanced_launch_seed"
"32","43-4051.00","Customer Service Representatives","operations","core","High-volume role for augmentation versus partial replacement","high","selected","rebalanced_launch_seed"
