"occupation_id","function_category","role_summary","function_statement","accountability_statement","primary_output","primary_stakeholder","judgment_requirement","trust_requirement","regulatory_liability_weight","human_authority_requirement","bargaining_power_retention","source_mix","notes"
"occ_23_1011_00","advice_advocacy","Interpret, apply, and uphold the law while advising and advocating for clients in legal matters.","Convert legal facts, rules, and strategy into accountable advice, negotiation, and representation.","Remain professionally accountable for legal judgment, client advocacy, ethical duties, and final representation decisions.","Legally accountable advice and representation","Client, court, and institution","0.96","0.94","0.92","0.94","0.90","src_role_function_seed_2026_03","occupation_override"
"occ_23_2011_00","legal_support","Support legal matters by organizing records, drafting under supervision, and keeping procedure on track.","Turn case facts, records, deadlines, and draft materials into matter-ready legal support work.","Remain accountable for procedural reliability, record quality, and escalation of issues that require attorney judgment.","Matter-ready case support","Attorney and legal team","0.64","0.68","0.60","0.44","0.54","src_role_function_seed_2026_03","occupation_override"
"occ_15_2051_00","decision_intelligence","Build analytical assets that turn ambiguous business or technical questions into defensible decisions.","Frame problems, build analytical approaches, and interpret model outputs so stakeholders can act with confidence.","Remain accountable for analytical framing, model validity, and practical interpretation of outputs.","Decision-ready models and analysis","Business and technical decision-makers","0.86","0.66","0.36","0.64","0.72","src_role_function_seed_2026_03","occupation_override"
"occ_13_1111_00","problem_solving","Diagnose client problems and redesign processes, governance, or operating models that improve performance.","Turn ambiguous business issues into structured recommendations and implementation paths.","Remain accountable for problem framing, recommendation logic, and expected organizational impact.","Client-ready recommendations and operating-model changes","Client sponsor and leadership","0.82","0.74","0.32","0.66","0.76","src_role_function_seed_2026_03","occupation_override"
"occ_13_1082_00","orchestration","Keep complex cross-functional work aligned so delivery happens under real deadlines and constraints.","Convert goals, dependencies, risks, and stakeholder input into coordinated execution.","Remain accountable for delivery alignment, dependency management, and escalation quality.","Coordinated delivery plans and execution","Leadership, team, and customer","0.80","0.74","0.34","0.64","0.74","src_role_function_seed_2026_03","occupation_override"
"occ_13_2011_00","financial_integrity","Produce trustworthy financial reporting and judgment around controls, risk, and compliance.","Turn financial activity into accurate records, defensible reporting, and controlled decision support.","Remain accountable for financial correctness, control discipline, and compliance quality.","Reliable financial statements and control judgments","Management, investor, and regulator","0.82","0.76","0.70","0.62","0.74","src_role_function_seed_2026_03","occupation_override"
"occ_13_1041_00","control_assurance","Protect the organization by translating rules into workable control and review decisions.","Interpret policies, laws, and controls so operations remain compliant and auditable.","Remain accountable for control adequacy, escalation of material issues, and compliance interpretation.","Defensible compliance decisions and control evidence","Leadership, regulator, and operating team","0.84","0.80","0.78","0.70","0.76","src_role_function_seed_2026_03","occupation_override"
"occ_13_1071_00","people_operations","Keep people processes fair, usable, and context-aware without treating specialist HR work like final people-governance authority.","Turn policy, employee context, and workflow needs into reliable people-process execution and guidance.","Remain accountable for process quality, policy fit, and escalation of sensitive employee issues, but not for most final managerial or legal sign-off.","Reliable people-process outcomes and guided escalations","Employees, managers, and HR leadership","0.72","0.70","0.34","0.42","0.64","src_role_function_seed_2026_03","occupation_override"
"occ_27_3042_00","information_translation","Turn product or system complexity into documentation people can actually use.","Translate technical complexity into accurate, maintainable, user-ready documentation.","Remain accountable for documentation accuracy, user fit, and release readiness.","Usable technical documentation","User, support, and product team","0.74","0.70","0.32","0.48","0.62","src_role_function_seed_2026_03","occupation_override"
"occ_13_2051_00","financial_analysis","Turn market, company, and performance signals into decision-ready analysis rather than treating the role like a control-signoff function.","Translate financial statements, forecasts, and scenarios into interpretable views of risk, performance, and options.","Remain accountable for analytical quality, scenario framing, and escalation when assumptions or market conditions make the read uncertain, but not for most formal financial sign-off.","Decision-ready financial analysis and scenarios","Investors, portfolio managers, and finance leadership","0.78","0.62","0.34","0.44","0.68","src_role_function_seed_2026_03","occupation_override"
"occ_15_1211_00","systems_analysis","Translate business workflow and system needs into workable requirements, configuration choices, and rollout decisions.","Turn business context, process friction, and technology constraints into adoptable system design and implementation guidance.","Remain accountable for requirements quality, translation accuracy, and escalation when system fit is unclear, but not for most final technical sign-off or production ownership.","Adoptable system requirements and implementation guidance","Business stakeholders and implementation teams","0.72","0.54","0.20","0.36","0.62","src_role_function_seed_2026_03","occupation_override"
"occ_17_2141_00","engineering_design","Design practical mechanical solutions while carrying engineering judgment without overstating formal sign-off ownership.","Turn requirements, constraints, and test feedback into workable mechanical designs and design revisions.","Remain accountable for design quality, engineering judgment, and escalation when testing or integration reveals design risk, but not for every downstream release or organizational sign-off decision.","Workable mechanical designs and validated revisions","Engineering teams, manufacturing, and technical stakeholders","0.72","0.54","0.34","0.46","0.64","src_role_function_seed_2026_03","occupation_override"
"occ_41_3091_00","revenue_creation","Create revenue by understanding customer needs, shaping a solution, and winning agreement.","Turn discovery, solution shaping, and negotiation into committed service revenue.","Remain accountable for commercial judgment, relationship trust, and final deal commitments.","Closed service revenue and active accounts","Customer and revenue owner","0.58","0.66","0.18","0.34","0.68","src_role_function_seed_2026_03","occupation_override"
"occ_43_4051_00","service_resolution","Resolve customer problems in ways that preserve service continuity and trust.","Turn incoming issues and constraints into resolved cases, escalations, and retained customer trust.","Remain accountable for case quality, exception handling, and customer-facing judgment.","Resolved customer issues and retained trust","Customer and service organization","0.62","0.78","0.30","0.46","0.58","src_role_function_seed_2026_03","occupation_override"
"occ_27_3041_00","editorial_judgment","Improve content quality by deciding what should be clear, accurate, coherent, and publishable.","Turn draft material into publishable content through revision, quality control, and editorial judgment.","Remain accountable for final clarity, consistency, and editorial standards.","Publishable, high-quality content","Reader and publisher","0.80","0.78","0.30","0.56","0.70","src_role_function_seed_2026_03","occupation_override"
"occ_27_3023_00","public_information","Report accurate, timely information that people can trust under real-world uncertainty.","Turn reporting, verification, and synthesis into credible public information.","Remain accountable for source judgment, factual integrity, and public trust.","Credible reporting","Public and editor","0.80","0.86","0.36","0.64","0.74","src_role_function_seed_2026_03","occupation_override"
"occ_11_1021_00","orchestration","Keep multiple business functions aligned so services, teams, and resources produce results.","Turn goals, constraints, and operating signals into coordinated managerial execution.","Remain accountable for prioritization, performance outcomes, and resource tradeoffs.","Coordinated business execution","Leadership, team, and customer","0.76","0.72","0.38","0.64","0.76","src_role_function_seed_2026_03","occupation_override"
"occ_15_1232_00","support_enablement","Help users stay productive by resolving technical issues and turning tool friction into workable support.","Turn incidents, user confusion, setup work, and training needs into restored access and usable systems.","Remain accountable for diagnosis quality, user handoff, and escalation when issues exceed frontline support.","Restored user productivity and usable systems","Employee or end user","0.64","0.72","0.24","0.46","0.56","src_role_function_seed_2026_03","occupation_override"
"occ_13_1151_00","learning_enablement","Translate product, process, and workflow change into training people can actually use in real work.","Turn subject-matter expertise, workflow changes, and learner needs into courseware, practice, and adoption support.","Remain accountable for learning-design quality, learner fit, and escalation when training gaps block adoption.","Adoptable training programs and learning assets","Learners, managers, and enablement leaders","0.74","0.70","0.28","0.46","0.62","src_role_function_seed_2026_03","occupation_override"
"occ_11_3021_00","technology_governance","Set technology priorities and operating guardrails so systems, teams, and budgets support the organization.","Turn organizational needs into technology priorities, staffing, controls, and delivery oversight.","Remain accountable for technology direction, budget tradeoffs, risk posture, and team performance.","Accountable technology direction and operating oversight","Leadership, users, and technical teams","0.84","0.74","0.46","0.74","0.80","src_role_function_seed_2026_03","occupation_override"
"occ_13_1023_00","procurement_stewardship","Secure goods and services on workable terms by evaluating suppliers, negotiating contracts, and managing procurement flow.","Turn demand, supplier options, compliance rules, and pricing signals into defensible purchasing decisions.","Remain accountable for supplier judgment, contract fit, and escalation when delivery, price, or compliance risks change.","Defensible sourcing decisions and executed procurement","Internal requestor and supplier base","0.72","0.70","0.56","0.58","0.64","src_role_function_seed_2026_03","occupation_override"
"occ_43_3021_00","revenue_cycle_execution","Keep billing records accurate and charges processed so revenue-cycle workflow stays reliable.","Turn source documents, rate rules, account data, and exceptions into accurate billing output and corrected records.","Remain accountable for billing accuracy, document integrity, and escalation when discrepancies affect customers or downstream finance.","Accurate billing output and corrected records","Customer and finance operations","0.28","0.32","0.20","0.12","0.26","src_role_function_seed_2026_03","occupation_override"
"occ_43_4171_00","workflow_execution","Keep front-desk records, schedules, and inbound workflow moving so the office can handle requests cleanly.","Coordinate intake, routing, schedules, and front-office communications so routine work reaches the right next step.","Own the accuracy of front-desk records, routing, and follow-through, and escalate when requests stop fitting routine handling.","Accurate front-desk workflow and request routing","Visitors, callers, and internal teams","0.34","0.40","0.18","0.26","0.34","src_role_function_seed_2026_03","occupation_override"
"occ_15_1244_00","infrastructure_stewardship","Keep networks and systems available, secure, and maintainable in day-to-day operation.","Turn infrastructure requirements, incidents, maintenance work, and monitoring signals into reliable system operations.","Remain accountable for uptime, recovery readiness, and escalation when infrastructure risk exceeds routine administration.","Reliable network and system operations","Users, operators, and IT leadership","0.74","0.66","0.44","0.56","0.64","src_role_function_seed_2026_03","occupation_override"
"occ_13_1031_00","claims_resolution","Investigate coverage and losses so claims decisions are fair, documented, and defensible.","Turn claim facts, evidence, policy terms, and negotiation into settled, denied, or escalated claim outcomes.","Remain accountable for investigative judgment, settlement quality, and escalation of contested or high-risk claims.","Defensible claim decisions and documented resolutions","Claimant, carrier, and legal partner","0.78","0.78","0.70","0.60","0.68","src_role_function_seed_2026_03","occupation_override"
"occ_13_2072_00","credit_origination","Match borrowers to workable loan options by evaluating risk, documentation, and client goals.","Turn borrower context, credit information, documentation, and product fit into structured lending decisions and applications.","Remain accountable for client guidance, application quality, and escalation when credit risk or policy fit is unclear.","Qualified loan applications and lending recommendations","Borrower and lending institution","0.76","0.80","0.62","0.58","0.70","src_role_function_seed_2026_03","occupation_override"
"occ_15_1253_00","release_assurance","Protect software quality by designing tests, finding defects, and judging release readiness.","Turn requirements, builds, defects, and test evidence into trustworthy quality signals and release decisions.","Remain accountable for test coverage, defect clarity, and escalation when software is not ready to ship.","Defensible quality evidence and release readiness","Engineering, product, and user","0.78","0.68","0.34","0.54","0.62","src_role_function_seed_2026_03","occupation_override"
"occ_15_1212_00","security_assurance","Protect systems and data by identifying threats, hardening controls, and escalating material security risk.","Turn telemetry, vulnerabilities, incidents, and control requirements into prioritized defensive action and security decisions.","Remain accountable for risk triage, control judgment, and escalation when threats exceed routine remediation.","Reduced security risk and defensible control actions","Organization, users, and security leadership","0.82","0.76","0.72","0.62","0.72","src_role_function_seed_2026_03","occupation_override"
"occ_15_1241_00","network_architecture","Design network infrastructure that can scale, interoperate, and remain reliable under real operating constraints.","Turn performance requirements, security needs, topology tradeoffs, and growth plans into network design decisions.","Remain accountable for architecture quality, reliability tradeoffs, and escalation when implementation diverges from design intent.","Defensible network architecture and standards","Users, operators, and technical leadership","0.84","0.68","0.52","0.68","0.72","src_role_function_seed_2026_03","occupation_override"
"occ_11_3121_00","people_governance","Set people policy, staffing direction, and employee-governance guardrails so the organization can manage its workforce responsibly.","Turn organizational priorities, employment rules, manager needs, and workforce issues into accountable HR decisions and policies.","Remain accountable for policy interpretation, manager guidance, escalation quality, and people-risk governance.","Accountable people policy and workforce decisions","Leadership, managers, and employees","0.82","0.84","0.72","0.70","0.76","src_role_function_seed_2026_03","occupation_override"
"occ_13_2052_00","financial_advice","Help clients make financial decisions by translating goals, constraints, and market choices into actionable plans.","Turn client context, risk tolerance, product options, and market information into tailored financial advice and account decisions.","Remain accountable for advice quality, relationship trust, and escalation when client suitability or compliance risks change.","Client-ready financial plans and recommendations","Client and advisory firm","0.84","0.88","0.62","0.60","0.78","src_role_function_seed_2026_03","occupation_override"
"occ_13_1051_00","estimate_development","Build defensible cost estimates by translating scope, assumptions, and pricing inputs into credible project numbers.","Turn drawings, specs, supplier signals, labor assumptions, and risk factors into scoped estimate outputs.","Remain accountable for estimate quality, assumption clarity, and escalation when scope or pricing uncertainty changes materially.","Defensible project cost estimates","Project lead and commercial owner","0.72","0.66","0.36","0.50","0.62","src_role_function_seed_2026_03","occupation_override"
"occ_11_9041_00","engineering_leadership","Guide engineering organizations by turning technical goals, staffing, and delivery risk into accountable execution.","Turn engineering priorities, resource constraints, technical tradeoffs, and delivery signals into leadership decisions and oversight.","Remain accountable for staffing, delivery quality, technical escalation, and organizational tradeoffs across engineering work.","Accountable engineering direction and team oversight","Leadership, engineers, and customers","0.82","0.72","0.48","0.76","0.80","src_role_function_seed_2026_03","occupation_override"
"occ_43_4131_00","lending_intake_execution","Keep lending workflow moving by collecting documentation, clarifying applications, and routing credit information accurately.","Turn borrower intake, document follow-up, and application records into complete, review-ready lending files.","Remain accountable for intake accuracy, borrower follow-through, and escalation when files are incomplete or policy issues appear.","Review-ready loan files and accurate intake records","Borrower and lending team","0.42","0.54","0.30","0.24","0.38","src_role_function_seed_2026_03","occupation_override"
"occ_43_1011_00","admin_team_orchestration","Coordinate administrative staff and workflow so office-support operations stay timely, accurate, and staffed.","Turn workload signals, process issues, and team constraints into reliable administrative execution.","Remain accountable for staffing coverage, workflow quality, and escalation when office-support processes break down.","Coordinated office-support execution","Support staff and leadership","0.68","0.62","0.34","0.56","0.62","src_role_function_seed_2026_03","occupation_override"
"occ_43_4031_00","public_record_administration","Keep public filings, licenses, court records, or civic transactions accurate and procedurally valid.","Turn applications, public records, deadlines, and procedural rules into completed civic or court-facing administrative actions.","Remain accountable for record integrity, procedural correctness, and escalation when a filing or request cannot be processed routinely.","Accurate public records and completed filings","Applicant, public, and institution","0.66","0.74","0.62","0.46","0.56","src_role_function_seed_2026_03","occupation_override"
"occ_15_1252_00","software_delivery","Design, build, and maintain software that solves user and business problems.","Translate product and system needs into working software and maintainable technical decisions.","Remain accountable for implementation quality, technical tradeoffs, and escalation when software behavior or system fit stops matching expectations.","Working software systems","Users, customers, and technical stakeholders","0.74","0.52","0.24","0.46","0.60","src_role_function_seed_2026_03","occupation_override"
"occ_27_1024_00","creative_production","Create assets and messages that shape audience attention and response.","Produce creative work that expresses ideas clearly and serves a communication or commercial goal.","Remain accountable for creative quality, brand fit, and escalation when production or stakeholder conflict changes the brief.","Creative assets and narratives","Audience, client, or brand owner","0.54","0.54","0.14","0.34","0.56","src_role_function_seed_2026_03","occupation_override"
