"occupation_id","function_id","function_category","role_summary","function_statement","function_weight","source_mix","source_confidence","notes"
"occ_11_1021_00","fn_occ_11_1021_00_people_resource_leadership","people_resource_leadership","Translate business goals into staffed, resourced, and accountable organizational execution.","Turn people, capacity, and performance signals into accountable operating decisions.","0.2537","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_secondary_anchor"
"occ_11_1021_00","fn_occ_11_1021_00_primary","orchestration","Keep multiple business functions aligned so services, teams, and resources produce results.","Turn goals, constraints, and operating signals into coordinated managerial execution.","0.7463","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","occupation_override_promoted"
"occ_11_2021_00","fn_occ_11_2021_00_primary","market_sensing","Understand markets and shape go-to-market choices that influence demand.","Turn audience, product, and campaign signals into positioning and demand-generation choices.","0.7463","src_role_function_seed_2026_03","0.7400","role_family_default_promoted"
"occ_11_2021_00","fn_occ_11_2021_00_team_budget_orchestration","team_budget_orchestration","Turn market plans into coordinated budget, staffing, and execution decisions across the marketing organization.","Translate campaign priorities, team capacity, and commercial pressure into sequenced go-to-market work.","0.2537","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_secondary_anchor"
"occ_11_2022_00","fn_occ_11_2022_00_primary","revenue_creation","Turn revenue goals into accountable commercial direction, manager coaching, and performance decisions across the sales organization.","Translate pipeline signals, market conditions, team capacity, and commercial constraints into quota, prioritization, and frontline direction.","0.7463","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","occupation_override_promoted"
"occ_11_2022_00","fn_occ_11_2022_00_team_commercial_direction","team_commercial_direction","Turn revenue goals into manager-level direction on staffing, pricing discipline, and frontline sales priorities.","Translate market signals and team performance into quota, coverage, and coaching decisions.","0.2537","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_secondary_anchor|guardrail_recalibration_2026_03c"
"occ_11_3021_00","fn_occ_11_3021_00_portfolio_delivery_leadership","portfolio_delivery_leadership","Align projects, vendors, teams, and budgets so technology commitments become delivered organizational change.","Turn competing demands, delivery risk, and cross-functional friction into sequenced technology execution.","0.2537","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_secondary_anchor"
"occ_11_3021_00","fn_occ_11_3021_00_primary","technology_governance","Set technology priorities and operating guardrails so systems, teams, and budgets support the organization.","Turn organizational needs into technology priorities, staffing, controls, and delivery oversight.","0.7463","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","occupation_override_promoted"
"occ_11_3031_00","fn_occ_11_3031_00_primary","financial_integrity","Turn financial signals into accountable resource decisions, control priorities, and executive financial direction.","Translate financial performance, risk, liquidity, and planning constraints into budget, capital, and operating decisions.","0.7463","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","occupation_override_promoted"
"occ_11_3031_00","fn_occ_11_3031_00_resource_allocation_leadership","resource_allocation_leadership","Translate financial signals into budget, capital, and risk tradeoffs that shape how the organization allocates resources.","Turn financial planning, performance signals, and control constraints into staffing, investment, and resource decisions.","0.2537","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_secondary_anchor|guardrail_recalibration_2026_03c"
"occ_11_3071_00","fn_occ_11_3071_00_distribution_network_leadership","distribution_network_leadership","Keep transportation and distribution systems reliable by directing exceptions, capacity tradeoffs, and cross-site coordination.","Turn service issues, throughput constraints, and operational risk into manager-level logistics decisions.","0.2537","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_secondary_anchor"
"occ_11_3071_00","fn_occ_11_3071_00_primary","reliable_execution","Keep workflows compliant, coordinated, and reliable in day-to-day execution.","Sustain reliable operations by coordinating work, resolving exceptions, and keeping execution on track.","0.7463","src_role_function_seed_2026_03","0.7400","role_family_default_promoted"
"occ_11_3121_00","fn_occ_11_3121_00_manager_coaching_enablement","manager_coaching_enablement","Help leaders handle people issues well by translating policy, context, and employee risk into workable manager action.","Turn workforce friction, policy questions, and sensitive situations into supported people decisions.","0.2537","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_secondary_anchor"
"occ_11_3121_00","fn_occ_11_3121_00_primary","people_governance","Set people policy, staffing direction, and employee-governance guardrails so the organization can manage its workforce responsibly.","Turn organizational priorities, employment rules, manager needs, and workforce issues into accountable HR decisions and policies.","0.7463","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","occupation_override_promoted"
"occ_11_9041_00","fn_occ_11_9041_00_primary","engineering_leadership","Guide engineering organizations by turning technical goals, staffing, and delivery risk into accountable execution.","Turn engineering priorities, resource constraints, technical tradeoffs, and delivery signals into leadership decisions and oversight.","0.7463","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","occupation_override_promoted"
"occ_11_9041_00","fn_occ_11_9041_00_technical_signoff_stewardship","technical_signoff_stewardship","Preserve engineering quality by carrying technical review, escalation, and sign-off discipline above the day-to-day delivery layer.","Turn technical risk, review findings, and cross-team dependencies into accountable engineering decisions.","0.2537","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_secondary_anchor"
"occ_11_9141_00","fn_occ_11_9141_00_primary","reliable_execution","Keep workflows compliant, coordinated, and reliable in day-to-day execution.","Sustain reliable operations by coordinating work, resolving exceptions, and keeping execution on track.","0.7463","src_role_function_seed_2026_03","0.7400","role_family_default_promoted"
"occ_11_9141_00","fn_occ_11_9141_00_resident_vendor_stewardship","resident_vendor_stewardship","Keep properties workable by coordinating tenants, vendors, and local issues that shape day-to-day asset experience.","Turn resident needs, site issues, and service follow-through into stable property operations.","0.2537","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_secondary_anchor"
"occ_13_1023_00","fn_occ_13_1023_00_primary","procurement_stewardship","Secure goods and services on workable terms by evaluating suppliers, negotiating contracts, and managing procurement flow.","Turn demand, supplier options, compliance rules, and pricing signals into defensible purchasing decisions.","0.7463","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","occupation_override_promoted"
"occ_13_1023_00","fn_occ_13_1023_00_vendor_relationship_stewardship","vendor_relationship_stewardship","Protect supplier performance and workable terms by managing vendor trust, delivery issues, and commercial follow-through.","Turn supplier interactions, contract friction, and delivery risk into maintained sourcing continuity.","0.2537","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_secondary_anchor"
